"","AAPL","AMGN","AXP","BA","CAT","CRM","CSCO","CVX","DIS","GS","HD","HON","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","NKE","PG","TRV","UNH","V","VZ","WBA","WMT"
"1",23.4249992370605,116.400001525879,95.5699996948242,137.960006713867,108.75,51.7099990844727,24.7999992370605,124.370002746582,85.4800033569336,166,80.6100006103516,91.3423309326172,178.03059387207,27.9099998474121,103.220001220703,57.4199981689453,40.9099998474121,101.379997253418,121.505020141602,55.2862586975098,41.2700004577637,38.3349990844727,80.0899963378906,94.6600036621094,79.7600021362305,53.1450004577637,49.5699996948242,74.9199981689453,25.6700000762939
"2",23.5625,117.099998474121,95.2799987792969,137.25,109.309997558594,53.060001373291,25,125.339996337891,84.75,166.360000610352,80.7399978637695,90.8942489624023,176.185470581055,28.2399997711182,104.099998474121,57.9000015258789,41.0699996948242,100.879997253418,121.212371826172,55.8110694885254,41.1100006103516,38.1549987792969,80.1500015258789,95.0999984741211,79.8099975585938,53.5625,49.5200004577637,74.7399978637695,25.5400009155273
"3",23.4650001525879,116.339996337891,95.0800018310547,134.100006103516,108.690002441406,53.310001373291,25.0400009155273,125.180000305176,84.3099975585938,165.429992675781,79.8099975585938,90.4842987060547,174.23518371582,27.9300003051758,103.319999694824,57.2700004577637,40.8600006103516,100.419998168945,120.744148254395,56.1164131164551,40.8600006103516,37.5699996948242,80.0599975585938,94.9000015258789,80.1699981689453,53.1699981689453,49.3699989318848,74.6699981689453,25.3866672515869
"4",23.0725002288818,116.199996948242,94.7600021362305,132.190002441406,106.650001525879,53.0400009155273,24.6599998474121,126.110000610352,82.8000030517578,165.960006713867,78.4300003051758,89.2925872802734,173.250473022461,27.9599990844727,102.529998779297,57.0400009155273,40.4199981689453,99.7600021362305,119.623748779297,55.6297721862793,40.5800018310547,37.3849983215332,79.7600021362305,95,79.4400024414062,52.9425010681152,49.0400009155273,72.4700012207031,25.2433338165283
"5",22.8199996948242,116.029998779297,94.8499984741211,132.289993286133,106.769996643066,54.310001373291,24.7000007629395,127.26000213623,82.8000030517578,165.889999389648,78.0699996948242,89.3974609375,174.531555175781,29.8700008392334,102.529998779297,57.0400009155273,40.3699989318848,100.48999786377,119.866218566895,55.5725173950195,41.2299995422363,37.310001373291,79.6399993896484,95.4100036621094,79.1800003051758,52.8224983215332,49.1800003051758,73.0599975585938,25.0933322906494
"6",23.0499992370605,116.160003662109,94.370002746582,132.539993286133,106.809997558594,54.6100006103516,24.5300006866455,128.539993286133,83.3000030517578,165.850006103516,78.9000015258789,89.4260635375977,174.330780029297,30.0100002288818,102.449996948242,56.8699989318848,40.6599998474121,101.099998474121,119.832778930664,55.4103050231934,41.5,37.2750015258789,79.6900024414062,95.4599990844727,78,52.560001373291,49.310001373291,73.2900009155273,25.1133327484131
"7",23.0200004577637,116.169998168945,94.6600036621094,132.449996948242,106.669998168945,57.8199996948242,24.5,128.830001831055,83.1600036621094,168.220001220703,80.0199966430664,89.9027481079102,174.244735717773,29.9500007629395,101.930000305176,57.4199981689453,40.9199981689453,101.269996643066,120.142143249512,55.400764465332,41.6800003051758,37.5449981689453,79.5800018310547,95.2200012207031,78.1699981689453,52.7024993896484,49.2099990844727,73.0999984741211,24.9966678619385
"8",23.0450000762939,117.48999786377,95.5599975585938,132.479995727539,107.480003356934,57.7599983215332,24.6299991607666,130.279998779297,83.5800018310547,169.860000610352,80.7099990844727,89.7978744506836,175.525817871094,29.9300003051758,102.809997558594,57.7799987792969,41.560001373291,101.349998474121,120.677261352539,55.734733581543,41.6500015258789,38.1049995422363,79.7900009155273,95.4000015258789,79.2099990844727,52.8125,49.4199981689453,76.0800018310547,25.2333335876465
"9",22.9650001525879,117.849998474121,95.0699996948242,132.820007324219,107.25,57.8800010681152,24.7099990844727,131.990005493164,83.7699966430664,169.729995727539,80.4400024414062,90.0362167358398,174.780120849609,30.0900001525879,103.809997558594,57.2999992370605,41.7900009155273,101.910003662109,120.81103515625,55.6297721862793,41.5099983215332,37.8199996948242,80.2399978637695,95.5999984741211,80.5100021362305,52.5800018310547,49.4700012207031,75.3899993896484,25.2900009155273
"10",22.7275009155273,120.970001220703,95.5400009155273,132.100006103516,109.379997253418,57.5099983215332,24.8299999237061,132.339996337891,82.8199996948242,169.839996337891,80.1699981689453,90.3984985351562,173.565963745117,30.2000007629395,105.269996643066,57.5499992370605,41.689998626709,101.919998168945,121.371238708496,56.2213745117188,41.6800003051758,37.5499992370605,79.9300003051758,94.5899963378906,81.4100036621094,52.372501373291,49.3899993896484,74.5400009155273,25.2266674041748
"11",22.7075004577637,119.129997253418,95.5100021362305,130.850006103516,108.779998779297,58,24.7000007629395,132.979995727539,82.7600021362305,170.240005493164,80.6399993896484,89.8741455078125,174.130020141602,30.2299995422363,104.75,58.189998626709,41.7299995422363,101.910003662109,120.476585388184,55.8206100463867,41.9900016784668,37.7249984741211,79.5199966430664,94.9499969482422,81.4899978637695,52.3675003051758,49.7299995422363,73.7300033569336,25.2633323669434
"12",22.5699996948242,118.790000915527,94.4300003051758,129.149993896484,107.809997558594,57.4599990844727,24.5300006866455,131.770004272461,82.6800003051758,168.229995727539,80.4300003051758,88.6824340820312,172.925430297852,30.5,104.589996337891,57.4199981689453,41.8499984741211,101.470001220703,119.640464782715,55.2671775817871,41.75,37.4900016784668,79.0100021362305,94.6699981689453,81.7399978637695,51.9474983215332,49.2799987792969,72.4800033569336,25.3233337402344
"13",22.5900001525879,119.419998168945,94.6399993896484,127.059997558594,108.440002441406,57.4099998474121,24.7199993133545,131.229995727539,83.9000015258789,168.380004882812,80.5299987792969,88.8635711669922,172.7724609375,30.8799991607666,105.76000213623,57.5299987792969,41.9599990844727,101.610000610352,120.108695983887,56.1641235351562,42.0299987792969,38.2350006103516,79.3199996948242,94.8600006103516,82.3399963378906,52.2649993896484,49.4099998474121,74.1900024414062,25.2066669464111
"14",22.7250003814697,119.139999389648,94.3000030517578,128.020004272461,108.519996643066,57.1699981689453,24.6499996185303,130.919998168945,84.4499969482422,168.009994506836,80.75,88.7205657958984,172.437866210938,30.7800006866455,105.650001525879,57.3899993896484,42.0299987792969,101.51000213623,120.175582885742,55.849235534668,41.7200012207031,38.4300003051758,78.620002746582,94.4100036621094,82.2900009155273,52.2400016784668,49.2099990844727,74.2300033569336,24.9699993133545
"15",22.9950008392334,118.589996337891,94.9300003051758,128.539993286133,108.779998779297,57.3800010681152,24.7000007629395,130.360000610352,85.3000030517578,166.779998779297,81.129997253418,88.9112396240234,173.718933105469,30.9300003051758,104.98999786377,57.5299987792969,42.189998626709,101.459999084473,120.142143249512,54.8950386047363,42.25,38.8400001525879,79.0199966430664,93.9199981689453,82,52.3199996948242,49.3199996948242,74.0999984741211,25.1133327484131
"16",23.2325000762939,118.370002746582,94.870002746582,127.230003356934,108.669998168945,58.0800018310547,24.8500003814697,130.550003051758,85.7399978637695,167.440002441406,80.9599990844727,88.6156997680664,173.298278808594,30.8999996185303,104.620002746582,57.6199989318848,42.3600006103516,100.73999786377,119.765884399414,55.200382232666,41.7000007629395,38.7750015258789,78.5899963378906,94.0699996948242,81.75,52.6775016784668,48.9300003051758,74.129997253418,25.0233325958252
"17",23.3799991607666,120.309997558594,95.3499984741211,128.149993896484,109.169998168945,59.2000007629395,25.0799999237061,130.539993286133,86.4700012207031,166.809997558594,81.8199996948242,90.1792221069336,178.154876708984,30.9799995422363,105.870002746582,57.5699996948242,42.2900009155273,101,120.869567871094,55.8301544189453,41.8699989318848,39,79.2799987792969,95.2099990844727,81.8899993896484,53.5625,49.3699989318848,73.7799987792969,25.0933322906494
"18",23.3700008392334,121.029998779297,95.2099990844727,127.620002746582,109.559997558594,58.9099998474121,25.0300006866455,130.229995727539,86.4400024414062,166.889999389648,81.9800033569336,89.8836822509766,180.105163574219,30.9799995422363,105.860000610352,56.9700012207031,42.2900009155273,100.529998779297,121.429763793945,56.3454208374023,41.9000015258789,38.8950004577637,79.5599975585938,94.620002746582,82.4899978637695,53.7099990844727,49.6599998474121,73.0400009155273,25.2066669464111
"19",23.5074996948242,122.849998474121,95.8399963378906,128.509994506836,111.080001831055,58.7599983215332,25.1900005340576,131.190002441406,86.8399963378906,169.460006713867,82.0500030517578,90.4557037353516,180.238998413086,31.1399993896484,105.419998168945,57.0499992370605,42.2299995422363,100.980003356934,121.580268859863,56.4885482788086,41.7999992370605,39.2249984741211,79.9800033569336,94.8399963378906,83.3499984741211,54.127498626709,49.7099990844727,73.9800033569336,25.25
"20",23.9925003051758,120.160003662109,95.4000015258789,129.089996337891,110.160003662109,57.3400001525879,25.2299995422363,130.470001220703,86.5899963378906,167.779998779297,81.4199981689453,89.9790191650391,179.770553588867,31.0300006866455,106.470001220703,56.6699981689453,42.1399993896484,100.169998168945,121.162208557129,55.8396949768066,41.9900016784668,39.3250007629395,80.1900024414062,94.5500030517578,82.2200012207031,54.185001373291,49.75,73.5800018310547,25.3566665649414
"21",23.8374996185303,119.959999084473,94.5699996948242,126.790000915527,109.459999084473,54.8899993896484,25.0699996948242,129.899993896484,85.8600006103516,164.910003662109,80.7600021362305,89.8169403076172,178.986618041992,30.7900009155273,105.720001220703,55.7599983215332,41.939998626709,100.089996337891,120.869567871094,55.5057258605957,41.7799987792969,38.8349990844727,80.5599975585938,94.1399993896484,81.9300003051758,53.814998626709,48.7599983215332,71.120002746582,25.5499992370605
"22",23.8474998474121,119.569999694824,94.7399978637695,126.790000915527,110.139999389648,54.5999984741211,25.4400005340576,131.389999389648,87.2200012207031,164.669998168945,80.7300033569336,90.1315536499023,180.133850097656,30.8899993896484,106.040000915527,56.0200004577637,41.9500007629395,101.069999694824,120.969902038574,55.8683204650879,41.6699981689453,39.3450012207031,81.6699981689453,94.6999969482422,82.7399978637695,54.0400009155273,48.9000015258789,71.9499969482422,25.7366676330566
"23",23.7600002288818,118.949996948242,94.4599990844727,126.790000915527,109.360000610352,54.2999992370605,25.4400005340576,130.25,86.8600006103516,163.419998168945,79.4000015258789,89.8836822509766,179.445510864258,31.2600002288818,105.800003051758,55.560001373291,42.2599983215332,100.580001831055,120.309364318848,55.8969459533691,41.689998626709,38.75,81.6100006103516,94.3000030517578,82.0800018310547,53.8849983215332,49.6399993896484,71.5299987792969,25.6866664886475
"24",23.8050003051758,119.769996643066,94.4700012207031,128.089996337891,109.959999084473,54.2099990844727,25.5200004577637,128.470001220703,86.8899993896484,164.800003051758,79.6100006103516,90.4747695922852,179.732315063477,31.25,105.099998474121,55.7999992370605,41.9700012207031,100.370002746582,120.660537719727,55.7633590698242,42.0900001525879,38.6450004577637,81.1600036621094,94.6800003051758,82.870002746582,54.25,50.3199996948242,71.6600036621094,25.6066665649414
"25",24.1124992370605,118.980003356934,94.5400009155273,129.520004272461,110.089996337891,54.7299995422363,25.4400005340576,129.259994506836,86.7600021362305,167,79.4599990844727,91.2755966186523,181.510513305664,31.4899997711182,105.379997253418,56.2900009155273,42.3800010681152,100.470001220703,121.237457275391,55.515266418457,42.1399993896484,38.9749984741211,81.3199996948242,95.5599975585938,84.2699966430664,55.2574996948242,50.5299987792969,71.4899978637695,25.5166664123535
"26",23.8299999237061,116.860000610352,94.4499969482422,129.100006103516,109.849998474121,53.7400016784668,25.6700000762939,129.259994506836,86.1500015258789,169.169998168945,79.8600006103516,91.4853363037109,180.200759887695,31.7099990844727,103.279998779297,58.2700004577637,42.0999984741211,100.300003051758,121.287628173828,55.2576332092285,42.4500007629395,39.0149993896484,81.2600021362305,95.9499969482422,83.9000015258789,55.4449996948242,50.7099990844727,71.5899963378906,25.6133327484131
"27",23.6949996948242,117.709999084473,94.4700012207031,127.419998168945,111.400001525879,53.9500007629395,25.9799995422363,130.889999389648,85.3499984741211,170.470001220703,79.6600036621094,91.8952865600586,183.900573730469,34.6500015258789,102.220001220703,58.7099990844727,42.1199989318848,99.2699966430664,122.215721130371,55.4866409301758,44.0800018310547,38.4599990844727,80.9400024414062,95.620002746582,83.7600021362305,55.6674995422363,50.9599990844727,71.4199981689453,25.6200008392334
"28",23.2724990844727,115.389999389648,92.9899978637695,125.879997253418,109.069999694824,52.6399993896484,25.6299991607666,130.080001831055,85.0299987792969,170.139999389648,79.5500030517578,90.732177734375,184.024856567383,33.7000007629395,100.370002746582,57.8600006103516,42.0200004577637,98.370002746582,120.016723632812,54.9618301391602,44.5299987792969,38.2649993896484,80.4000015258789,94.6999969482422,85.1100006103516,54.4700012207031,50.3199996948242,70.1800003051758,25.5366668701172
"29",23.6075000762939,118.300003051758,93.5299987792969,127.639999389648,110.169998168945,53.5,25.9099998474121,130.389999389648,85.8099975585938,171.470001220703,80.0800018310547,92.3052368164062,184.034423828125,33.7000007629395,101.800003051758,58.2299995422363,42.4300003051758,98.9899978637695,121.095321655273,55.6679382324219,44.689998626709,38.7599983215332,80.5500030517578,95.3399963378906,85.5199966430664,55.0499992370605,50.75,71.9700012207031,25.6966667175293
"30",23.4850006103516,119.029998779297,92.879997253418,128.300003051758,110.230003356934,53.3199996948242,25.8500003814697,131.289993286133,85.7399978637695,171.720001220703,79.7099990844727,92.8009872436523,182.456985473633,34.060001373291,101.269996643066,58.2400016784668,42.4000015258789,97.5500030517578,120.65217590332,55.3435096740723,44.8400001525879,38.4099998474121,80.2799987792969,95.2600021362305,85.0599975585938,54.8050003051758,50.7000007629395,71.6699981689453,25.5900001525879
"31",23.6800003051758,121.110000610352,93.370002746582,129.740005493164,110.059997558594,53.5999984741211,25.9500007629395,132.580001831055,86.2099990844727,175.020004272461,80.5400009155273,92.6579818725586,185.554489135742,34.7900009155273,102.470001220703,58.6699981689453,41.189998626709,96.2699966430664,121.337791442871,55.7538185119629,44.8300018310547,38.5200004577637,80.0999984741211,91.629997253418,86.0500030517578,55.314998626709,50.9799995422363,72.8600006103516,25.546667098999
